N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
75,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,COOPERATIVA AGROPECUARIA DEL NORTE DE SANTANDER-COAGRONORTE LTDA,8905005719,GUILLERMO ALEXANDER INFANTE SANTOS,KM 8 VI EL ZULIA,FAVORABLE,ARROZ
76,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,CORDERO MANTILLA JOSE ALBERTO-CARNES FRIAS LA FRONTERA,134626087,JOSE ALBERTO CORDERO MANTILLA,CL 6 No 9-59 BR EL LLANO,FAVORABLE,DERIVADOS CARNICOS FRESCOS
78,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,CUSTODIO DIAZ MALDONADO-LA CORONA DORADA,134834840,CUSTODIO DIAZ MALDONADO,AV 4 No 18-33 BR OSPINA PEREZ,FAVORABLE,VINAGRE
79,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,DIAZ AVILA FABIO ALONSO-FABRICA AGUAS CAPITAL FC,191469530,FABIO ALONSO DIAZ AVILA,CL 4 No 18-15 BR ANIVERSARIO II,FAVORABLE,AGUA POTABLE TRATADA
80,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,DIAZ RAMIREZ ANA LUCIA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO EMBUTIDOS CARNEVALI,6035338600,ANA LUCIA DIAZ RAMIREZ,AV 6 No 17N-71 ZN INDUSTRIAL,FAVORABLE,DERIVADOS CARNICOS FRESCOS
81,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,DURAN BARRERA GLORIA ESPERANZA-PRODUCTOS LA SABANA,275914679,DURAN BARRERA GLORIA ESPERANZA,CL 0BN No 7A-74 BR SEVILLA,FAVORABLE,LECHE CONDENSADA; AREQUIPE; MERMELADAS DE FRUTA
86,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,DELICARNES DEL NORTE SAS,9007400221,GUILLERMO GALVIS SUAREZ,CL 4 No 4-40 BR LATINO,FAVORABLE,DERIVADOS CARNICOS FRESCOS
89,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,HERNANDEZ REALES YOHAIRA YANET-AREPA PAISA LA MARIA,603690028,YOHAIRA YANET HERNANDEZ REALES,CL 23 No 12-76 BR BELLA VISTA,FAVORABLE,"AREPAS, MASA PARA PREPARAR EMPANADAS FLAUTAS PASABOCAS"
90,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,HIELOS CUCUTA LTDA,8001581371,CARLOS IVAN ESLAVA RODRIGUEZ,CL 6 No 4-60 BR LATINO,FAVORABLE,HIELO
91,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,HIELOS EL OSO POLAR LTDA,8000842442,ORLANDO ALBERTO TORRADO MANTILLA,AV 4A No 7N-165 ZN INDUSTRIAL,FAVORABLE,HIELO
92,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,INDUSTRIAS LEFER SAS,9008156675,FERNEY PEREZ URREGO,MZ 9 LT 1 BR LOS ALMENDROS,FAVORABLE,MATERIAS PRIMAS (PASTA DE POLLO)
93,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,INDUQUIMICA DEL NORTE LTDA,8905051496,MARTHA OFELIA ATEHORTUA LUNA,CL 2 No 9E-26 BR QUINTA ORIENTAL,FAVORABLE,VINAGRE
94,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,GRUPO MOCATO SAS,9004699532,FEDERICO GARCIA HERREROS MORELLI,AV 6 No 6N-31 ZN INDUSTRIAL,FAVORABLE,CAFE TOSTADO Y MOLIDO;CAFÉ TOSTADO EN GRANO
98,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,JPN ALIMENTOS SAS,9001188324,NELSON AMAYA GARCIA,MZ L5 LT 15 BR ATALAYA I ET,FAVORABLE,AGUA POTABLE TRATADA
100,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,LA HIELERA BLUE SAS,9003786014,ORLANDO ALBERTO TORRADO MANTILLA,CENABASTOS NUEVA SEXTA MD 3 BG 33-35,FAVORABLE,HIELO
106,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,MORA FLOREZ MARTHA INES-AGUA PURA LA CASCADA,277904697,MARTHA INES MORA FLOREZ,CL 7A No 3-40 BR LATINO,FAVORABLE,AGUA POTABLE TRATADA
108,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,PAREDES DE SOTO ISABEL CRISTINA PROPIETARIA DE ESTABLECIMIENTO DE COMERCIO TOSTADORA DE CAFE FRONTERA,372327996,ISABEL CRISTINA PAREDES DE SOTO,AV 11 No 10-49 BR EL LLANO,FAVORABLE,CAFE TOSTADO Y MOLIDO
109,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,PASTEURIZADORA LA MEJOR SA,8905035207,MARTIN ALFONSO MARTINEZ VALERO,CL 7N No 4-33 ZN INDUSTRIAL,FAVORABLE,LECHE LIQUIDA;DERIVADOS LACTEOS BEBIBLES;QUESOS FRESCOS;AREQUIPE;AGUA POTABLE TRATADA;REFRESCOS DE AGUA;GELATINA
122,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,WJ GRAN COSECHA SAS,9004160588,YAMILE HELENA CAMPO MEDINA,AV 7A No 19N-50 ZN INDUSTRIAL DEL ORIENTE BG 4 NUCLEO 2,FAVORABLE,AGUA POTABLE TRATADA
123,1 ACTIVO,NORTE_DE_SANTANDER,EL ZULIA,ISABEL MENDOZA BOADA-LACTEOS LA MILAGROSA,372234931,ISABEL MENDOZA BOADA,CL 2 No 2-24 BR LA MILAGROSA,FAVORABLE,QUESOS FRESCOS
127,1 ACTIVO,NORTE_DE_SANTANDER,LOS PATIOS,HERNANDEZ DUARTE YAQUELIN-PRODUCTOS LACTEOS LACTTI FRESH,10937372959,YAQUELIN HERNANDEZ DUARTE,KM 14 KDX 3-1-B VDA LOS VADOS BR FUERA DEL MUNICIPIO DE LOS PATIOS,FAVORABLE,YOGUR
128,1 ACTIVO,NORTE_DE_SANTANDER,LOS PATIOS,LIZARAZO ORTIZ MOISES-BONAGUA,139225211,MOISES LIZARAZO ORTIZ,AV 12 CS F6 UR SAN FERNANDO,FAVORABLE,AGUA POTABLE TRATADA
129,1 ACTIVO,NORTE_DE_SANTANDER,LOS PATIOS,PORTILLA MONTAÑEZ HIGINIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PANADERIA LA COLOMBIANA DE LOS PATIOS,133513008,HIGINIO PORTILLA MONTAÑEZ,AV 10 No 26-96 BR PATIO CENTRO,FAVORABLE,PAN
130,1 ACTIVO,NORTE_DE_SANTANDER,LOS PATIOS,VITAL BEBIDAS SAS,9003669070,EDINSON OMAR MORA GARZA,CL 24B No 3-76 BR TASAJERO,FAVORABLE,AGUA POTABLE TRATADA
139,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,CAFE ROZO SAS,9008692556,MERCEDES HELENA ROZO DUARTE,CR 8 No 5-95,FAVORABLE,CAFE TOSTADO Y MOLIDO
140,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,DIAZ QUINTANA ALVARO-MOLINO LA ESMERALDA,133494214,ALVARO DIAZ QUINTANA,CL 3 No 8-268 BR LOS CEREZOS,FAVORABLE,HARINAS
141,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,DUARTE DUARTE MYRIAM-DULCES CHATOS,516523767,MYRIAM DUARTE DUARTE,CL 4 No 8-135,FAVORABLE,MANJAR BLANCO
142,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,GALLARDO QUINTERO OSCAR JAVIER-EMBUTIDOS RAGAPA,881600693,OSCAR JAVIER GALLARDO QUINTERO,CL 3 No 8-235 BR LOS CEREZOS,FAVORABLE,DERIVADOS CARNICOS FRESCOS
145,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,MAGHDIEL CECILIA PORTILLA MARTINEZ-PRODUCTOS ALIMENTICIOS MAGDIS,602594613,MAGHDIEL CECILIA PORTILLA MARTINEZ,HACIENDA PUERTO SILENCIO VI LOS TANQUES,FAVORABLE,YOGUR;QUESOS FRESCOS
147,1 ACTIVO,NORTE_DE_SANTANDER,PAMPLONA,SALSAMENTARIA ALEMANA LTDA,8905003744,BOCHMANN HERBERT WOLFGANG,CR 9A No 6-91 BR URSUA,FAVORABLE,DERIVADOS CARNICOS FRESCOS
150,1 ACTIVO,NORTE_DE_SANTANDER,SILOS,"ASOCIACION DE PRODUCTORES DE LECHE DE LOS MUNICIPIOS DE MUTISCUA Y SILOS ""ASPROMUSIL""",9000605351,LUZ MARITZA MARTINEZ VERA,CENTRO POBLADO PACHACUAL -VDA AGUEDINA CORREGIMIENTO LA LAGUNA KM 88 VI A BUCARAMANGA A CUCUTA,FAVORABLE CON OBSERVACIONES,LECHE CRUDA ENFRIADA
154,1 ACTIVO,NORTE_DE_SANTANDER,TOLEDO,ASOCIACION PRODUCTORA Y COMERCIALIZADORA DE CAFE ESPECIAL TOLEDO-CAFETOL,8070097117,JUAN ANTONIO GRANADOS MENDOZA,VDA SANTA ANA KM 5 VI TOLEDO-CHINACOTA FI EL CAFETERO,FAVORABLE,CAFE TOSTADO Y MOLIDO
157,1 ACTIVO,NORTE_DE_SANTANDER,TOLEDO,COOPERATIVA DE GANADEROS DEL SURORIENTE DEL NORTE DE SANTANDER-COGANSONORTE,8070009026,EDUARDO RICO VILLAMIZAR,KDX 19 VDA SAN JAVIER,FAVORABLE CON OBSERVACIONES,LECHE CRUDA ENFRIADA
158,1 ACTIVO,NORTE_DE_SANTANDER,TOLEDO,COOPERATIVA DE GANADEROS DEL SURORIENTE DEL NORTE DE SANTANDER -COGANSONORTE,8070009026,EDUARDO RICO VILLAMIZAR,KDX 19 VDA SAN JAVIER,FAVORABLE,QUESOS FRESCOS
162,1 ACTIVO,NORTE_DE_SANTANDER,VILLA DEL ROSARIO,ANDINA SA EN REORGANIZACION,8070040006,JUAN PABLO TORRADO ROJAS,FI LA SOLITA VDA EL PALMAR BR VILLA ANTIGUA,FAVORABLE,LECHE UHT SABORIZADA; AVENA UHT
167,1 ACTIVO,SANTANDER,ARATOCA,MORENO ISRAEL PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PAN CALIDAD ARATOCA,914511921,ISRAEL MORENO,KM 2 VI ARATOCA-BUCARAMANGA VDA SAN ANTONIO,FAVORABLE,PAN
170,1 ACTIVO,SANTANDER,BARBOSA,ARIZA CASTAÑEDA EDGAR JOSE-AGROLEC,178066832,EDGAR JOSE ARIZA CASTAÑEDA,VDA BUENA VISTA KM 5 VI BARBOSA-VELEZ,FAVORABLE CON OBSERVACIONES,LECHE CRUDA ENFRIADA
172,1 ACTIVO,SANTANDER,BARBOSA,CAICEDO FAJARDO JOSE CARMELINO PROPIETARIO DEL ESTABLECIMIENTO PRODUCTOS FRUTI DULCES,193707730,JOSE CARMELINO CAICEDO FAJARDO,CR 5 No 7-182 BR JOSE ANTONIO GALAN,FAVORABLE,BOCADILLO DE GUAYABA;CARAMELOS BLANDOS
174,1 ACTIVO,SANTANDER,BARBOSA,COMESTIBLES SAN MARTIN SAS,9004464080,MARTIN EMILIO HERREÑO TELLEZ,TR 3 No 7-131 BR JOSE ANTONIO GALAN,FAVORABLE,DULCE DE FRUTA
175,1 ACTIVO,SANTANDER,BARBOSA,COY TELLO FLOR ANGELA-TOSTADORA DE CAFE VELEÑO,302044284,FLOR ANGELA COY TELLO,CL 8 No 3-31 BR JOSE ANTONIO GALAN,FAVORABLE,CAFE TOSTADO Y MOLIDO
177,1 ACTIVO,SANTANDER,BARBOSA,GABRIELINA TELLEZ CASTILLO-FABRICA DE BOCADILLOS LA GAITANA,284777481,GABRIELINA TELLEZ CASTILLO,CL 2A No 9-18 BR GAITAN,FAVORABLE,BOCADILLO DE GUAYABA
178,1 ACTIVO,SANTANDER,BARBOSA,GONZALEZ LEON SANDRA MILENA - BOCADILLOS EL VENADO,634360097,SANDRA MILENA GONZALEZ LEON,KM 7 SC 2 VI VELEZ VDA BUENAVISTA,FAVORABLE,BOCADILLO DE GUAYABA
179,1 ACTIVO,SANTANDER,BARBOSA,GUERRERO MORALES LIVER-BOCADILLOS LA ISABELLA LO MEJOR DE LA PROVINCIA VELEÑA,795408973,LIVER GUERRERO MORALES,TR 3 No 7-45,FAVORABLE,BOCADILLO DE GUAYABA;MANJAR BLANCO
189,1 ACTIVO,SANTANDER,BARBOSA,SEGUNDO MIGUEL QUINTERO TRIANA-FABRICA DE BOCADILLOS EL CRISTAL,21026725,SEGUNDO MIGUEL QUINTERO TRIANA,TR 3 No 10-02/04,FAVORABLE,BOCADILLO DE GUAYABA
192,1 ACTIVO,SANTANDER,BARRANCABERMEJA,AGUA LA CASCADA MICROFILTRADA SAS,9001353174,ADRIANA MAYA TRESPALACIOS,CR 31 No 74-81 BR LA FLORESTA,FAVORABLE,AGUA POTABLE TRATADA
194,1 ACTIVO,SANTANDER,BARRANCABERMEJA,ARGUELLO SUAREZ LIBARDO-LACTEOS LEOMAY,136437409,LIBARDO ARGUELLO SUAREZ,PD LA GRANJITA VDA LA LEJIA CORREGIMIENTO EL CENTRO,FAVORABLE,QUESOS FRESCOS
195,1 ACTIVO,SANTANDER,BARRANCABERMEJA,ARROCERA VILLACRUCES SAS,9003950088,CRISTIAN EDUARDO SERRANO PINILLA,CR 33 No 58-28 BR LAS CAMELIAS,FAVORABLE,ARROZ
203,1 ACTIVO,SANTANDER,BARRANCABERMEJA,JOSE OLIVERIO RUEDA GONZALEZ Y CIA SEN C - INDUSTRIA DE HIELO EL NEVADO,8000141445,MARY QUIÑONES DE RUEDA,CL 51 No 1-55 SC COMERCIAL,FAVORABLE,HIELO
206,1 ACTIVO,SANTANDER,BARRANCABERMEJA,RIAÑO RIVERO RAMIRO-LACTEOS LA PARDA,912771213,RAMIRO RIAÑO RIVERO,CAMPO 23 CORREGIMIENTO EL CENTRO,FAVORABLE,QUESOS FRESCOS
208,1 ACTIVO,SANTANDER,BOLIVAR,QUIROGA QUIROGA GERMAN-CAFE PICHON ROJO,137069041,GERMAN QUIROGA QUIROGA,VDA MEDIO MINAS SC POZO VERDE,FAVORABLE,CAFE TOSTADO Y MOLIDO
211,1 ACTIVO,SANTANDER,BUCARAMANGA,ALIMENTOS INTEGRALES VIVA MEJOR EU,8040087254,HUGO ALCIDES VEGA ARRIETA,CR 13 No 103F-17 BR MANUELA BELTRAN,FAVORABLE,GRANOLA;PANES LEUDADOS;GALLETAS DULCES
212,1 ACTIVO,SANTANDER,BUCARAMANGA,ANAYA DE BERMUDEZ MARIA DEL CARMEN-RIKUS PRECOCIDOS,378386144,MARIA DEL CARMEN ANAYA DE BERMUDEZ,CR 12 No 13-56 BR GAITAN,FAVORABLE,TAMALES;EMPANADAS;OTROS ALIMENTOS COMPUESTOS
214,1 ACTIVO,SANTANDER,BUCARAMANGA,ARCHILA OSUNA LUZ MIRYAN-PANADERIA NUEVO VILLABEL,379432538,LUZ MYRIAM ARCHILA OSUNA,CL 106 No 22-66 BR PROVENZA,FAVORABLE,PAN
220,1 ACTIVO,SANTANDER,BUCARAMANGA,ARROCES DE SANTANDER SA,9001694921,MIGUEL BUENAHORA RODRIGUEZ,CR 15 No 7-34,FAVORABLE,ARROZ
221,1 ACTIVO,SANTANDER,BUCARAMANGA,ARROCES Y CEREALES DE LA COSTA SA,9001468402,MIGUEL BUENAHORA RODRIGUEZ,CR 18 No 5-05,FAVORABLE,ARROZ
222,1 ACTIVO,SANTANDER,BUCARAMANGA,ATUESTA CAICEDO MARIA FRANCISCA-PANADERIA MANTILLA,377453236,MARIA FRANCISCA ATUESTA CAICEDO,CR 14 No 43-46 BR CENTRO,FAVORABLE,PAN
225,1 ACTIVO,SANTANDER,BUCARAMANGA,BARRETO BECERRA HENRY FRANCISCO-PANADERIA LOS TRIGALES,794986265,HENRY FRANCISCO BARRETO BECERRA,CR 17 No 16-34 BR SAN FRANCISCO,FAVORABLE,PAN;PANDERIA DULCE
226,1 ACTIVO,SANTANDER,BUCARAMANGA,BAYONA SANCHEZ LAURA ESTHER-LAUMAN ALIMENTOS,633575866,LAURA ESTHER BAYONA SANCHEZ,CL 18 No 13-06 BR GAITAN,FAVORABLE,CONDIMENTOS
231,1 ACTIVO,SANTANDER,BUCARAMANGA,CABEZA DE PAREDES NUBIA-CAFE BUMANGUES,378106214,NUBIA CABEZA DE PAREDES,CR 12 No 22-12 BR GIRARDOT,FAVORABLE,CAFE TOSTADO Y MOLIDO
235,1 ACTIVO,SANTANDER,BUCARAMANGA,CARDENAS CAMACHO SALOMON-PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PROCESADORA CARNICOS DE COLOMBIA (PROCARNICOL),138407854,SALOMON CARDENAS CAMACHO,CR 23 No 21-22 BR SAN FRANCISCO,FAVORABLE,DERIVADOS CARNICOS FRESCOS
237,1 ACTIVO,SANTANDER,BUCARAMANGA,CARREÑO CARREÑO LUIS CARLOS-FRUTI HELADOS EL REY,913487581,LUIS CARLOS CARREÑO CARREÑO,CR 24 No 12A-22 BR SAN FRANCISCO,FAVORABLE,HELADOS DE LECHE;HELADOS DE AGUA
238,1 ACTIVO,SANTANDER,BUCARAMANGA,CENCOSUD COLOMBIA SA-JUMBO CABECERA,9001551071,MARTHA LUCIA HENAO CABECERA,CR 33 No 41-34,FAVORABLE,PAN;PANDERIA DULCE
239,1 ACTIVO,SANTANDER,BUCARAMANGA,BAVARIA & CIA SCA (CERVECERIA DE BUCARAMANGA),8600052246,SERGIO HERNANDO VILLALOBOS RUBIO,CT CAFE MADRID KM 4,FAVORABLE,CERVEZAS
240,1 ACTIVO,SANTANDER,BUCARAMANGA,BAVARIA & CIA SCA (CERVECERIA DE BUCARAMANGA),8600052246,SERGIO HERNANDO VILLALOBOS RUBIO,CT CAFE MADRID KM 4,FAVORABLE,BEBIDAS A BASE DE AGUA
242,1 ACTIVO,SANTANDER,BUCARAMANGA,BOHRCAFE SAS,8002544542,JUAN PABLO BOHORQUEZ NASSAR,CL 22 No 16-41,FAVORABLE,CAFE TOSTADO Y MOLIDO
244,1 ACTIVO,SANTANDER,BUCARAMANGA,CINNAPAN SAS LA PANETERIA,9003743828,JAIME HERRERA RODRIGUEZ,CL 21 No 23-55 BR SAN FRANCISCO,FAVORABLE,PAN;BIZCOCHOS
245,1 ACTIVO,SANTANDER,BUCARAMANGA,COMERCIALIZADORA LA ZAFRA SAS,9008774825,MARTIN ALONSO NIÑO ANAYA,BG 2 LC 3-42 CENTRAL DE ABASTOS DE BUCARAMANGA VI PALENQUE-CAFE MADRID,FAVORABLE,GRANOS;AZUCAR
249,1 ACTIVO,SANTANDER,BUCARAMANGA,COPROLAC QUESALAC SAS,9005811280,CESAR MARTINEZ BELTRAN,CL 7 No 18-46 BR COMUNEROS,FAVORABLE,QUESOS FRESCOS
251,1 ACTIVO,SANTANDER,BUCARAMANGA,CREPES & WAFFLES SA,8600769191,RODRIGO CABRERA LIEVANO,CL 41 No 15-71,FAVORABLE,ALIMENTOS PREPARADOS (LISTOS PARA EL CONSUMO)
